time_min,water_loss
1.0,[0. 0. 0. 0.]
101.0,[0. 0. 0. 0.]
123.0,[0. 0. 0. 0.]
125.0,[0. 0. 0. 0.]
423.0,[0. 0. 0. 0.]
425.0,[0. 0. 0. 0.]
427.0,[0. 0. 0. 0.]
429.0,[0. 0. 0. 0.]
441.0,[0. 0. 0. 0.]
679.0,[0. 0. 0. 0.]
681.0,[0. 0. 0. 0.]
683.0,[0. 0. 0. 0.]
685.0,[0. 0. 0. 0.]
691.0,[0. 0. 0. 0.]
898.0,[0. 0. 0. 0.]
929.0,[0. 0. 0. 0.]
931.0,[0. 0. 0. 0.]
933.0,[0. 0. 0. 0.]
935.0,[0. 0. 0. 0.]
945.0,[0. 0. 0. 0.]
1183.0,[0. 0. 0. 0.]
1185.0,[0. 0. 0. 0.]
1187.0,[0. 0. 0. 0.]
1189.0,[0. 0. 0. 0.]
1561.0,[0. 0. 0. 0.]
1563.0,[0. 0. 0. 0.]
1565.0,[0. 0. 0. 0.]
1567.0,[0. 0. 0. 0.]
1580.0,[0. 0. 0. 0.]
1795.0,[0. 0. 0. 0.]
2692.0,[0. 0. 0. 0.]
3018.0,[0. 0. 0. 0.]
3020.0,[0. 0. 0. 0.]
3022.0,[0. 0. 0. 0.]
3024.0,[0. 0. 0. 0.]
3040.0,[0. 0. 0. 0.]
3589.0,[0. 0. 0. 0.]
4478.0,[0. 0. 0. 0.]
4480.0,[0. 0. 0. 0.]
4482.0,[0. 0. 0. 0.]
